Date/Time,Device Restarts,Precip Inst (mm),Peso Cubo (g),Precip Tot (mm),Voltaje (V),Temperatura (°C)
11/01/2025 09:40:00,"",0,1667.141846,0,"",""
11/01/2025 09:45:00,"",0,1667.165527,0,"",""
11/01/2025 09:50:00,"",0,1666.79541,0,"",""
11/01/2025 09:55:00,"",0,1666.804932,0,"",""
11/01/2025 10:00:00,"",0,1666.781494,0,13.949999,10.299999
11/01/2025 10:05:00,"",0,1666.425537,0,"",""
11/01/2025 10:10:00,"",0,1666.76709,0,"",""
11/01/2025 10:15:00,"",0,1666.733887,0,"",""
11/01/2025 10:20:00,"",0,1666.833496,0,"",""
11/01/2025 10:25:00,"",0,1666.416016,0,"",""
11/01/2025 10:30:00,"",0,1666.321045,0,13.949999,9.9
11/01/2025 10:35:00,"",0,1666.548584,0,"",""
11/01/2025 10:40:00,"",0,1666.601074,0,"",""
11/01/2025 10:45:00,"",0,1666.785889,0,"",""
11/01/2025 10:50:00,"",0,1666.487549,0,"",""
11/01/2025 10:55:00,"",0,1666.4729,0,"",""
11/01/2025 11:00:00,"",0,1666.453613,0,13.949999,9.4
11/01/2025 11:05:00,"",0,1666.871582,0,"",""
11/01/2025 11:10:00,"",0,1667.246582,0,"",""
11/01/2025 11:15:00,"",0,1668.322998,0,"",""
11/01/2025 11:20:00,"",0,1668.631836,0,"",""
11/01/2025 11:25:00,"",0,1668.783447,0,"",""
11/01/2025 11:30:00,"",0,1669.053955,0,13.949999,9.699999
11/01/2025 11:35:00,"",0,1669.333984,0,"",""
11/01/2025 11:40:00,"",0,1669.234375,0,"",""
11/01/2025 11:45:00,"",0,1668.954346,0,"",""
11/01/2025 11:50:00,"",0,1668.512939,0,"",""
11/01/2025 11:55:00,"",0,1667.250977,0,"",""
11/01/2025 12:00:00,"",0,1666.79541,0,13.939999,12.299999
11/01/2025 12:05:00,"",0,1666.624512,0,"",""
11/01/2025 12:10:00,"",0,1666.762451,0,"",""
11/01/2025 12:15:00,"",0,1666.951904,0,"",""
11/01/2025 12:20:00,"",0,1667.080566,0,"",""
11/01/2025 12:25:00,"",0,1667.351074,0,"",""
11/01/2025 12:30:00,"",0,1667.455078,0,13.949999,10.1
11/01/2025 12:35:00,"",0,1667.3125,0,"",""
11/01/2025 12:40:00,"",0,1667.407471,0,"",""
11/01/2025 12:45:00,"",0,1667.649414,0,"",""
11/01/2025 12:50:00,"",0,1667.383545,0,"",""
11/01/2025 12:55:00,"",0,1667.393555,0,"",""
11/01/2025 13:00:00,"",0,1667.55957,0,13.949999,9.4
11/01/2025 13:05:00,"",0,1668.878418,0,"",""
11/01/2025 13:10:00,"",0,1669.096436,0,"",""
11/01/2025 13:15:00,"",0,1668.893066,0,"",""
11/01/2025 13:20:00,"",0,1668.247559,0,"",""
11/01/2025 13:25:00,"",0,1667.17041,0,"",""
11/01/2025 13:30:00,"",0,1666.662354,0,13.959999,9.799999
11/01/2025 13:35:00,"",0,1667.175049,0,"",""
11/01/2025 13:40:00,"",0,1666.857422,0,"",""
11/01/2025 13:45:00,"",0,1666.259521,0,"",""
11/01/2025 13:50:00,"",0,1666.368408,0,"",""
11/01/2025 13:55:00,"",0,1666.487061,0,"",""
11/01/2025 14:00:00,"",0,1666.491943,0,13.949999,9.6
11/01/2025 14:05:00,"",0,1665.86084,0,"",""
11/01/2025 14:10:00,"",0,1666.216553,0,"",""
11/01/2025 14:15:00,"",0,1666.406494,0,"",""
11/01/2025 14:20:00,"",0,1666.383057,0,"",""
11/01/2025 14:25:00,"",0,1666.18335,0,"",""
11/01/2025 14:30:00,"",0,1666.387451,0,13.949999,8.5
11/01/2025 14:35:00,"",0,1666.425537,0,"",""
11/01/2025 14:40:00,"",0,1666.515869,0,"",""
11/01/2025 14:45:00,"",0,1666.335449,0,"",""
11/01/2025 14:50:00,"",0,1666.335449,0,"",""
11/01/2025 14:55:00,"",0,1666.306885,0,"",""
11/01/2025 15:00:00,"",0,1666.12207,0,13.959999,7.8
11/01/2025 15:05:00,"",0,1666.112549,0,"",""
11/01/2025 15:10:00,"",0,1666.211914,0,"",""
11/01/2025 15:15:00,"",0,1666.093506,0,"",""
11/01/2025 15:20:00,"",0,1665.888916,0,"",""
11/01/2025 15:25:00,"",0,1666.116943,0,"",""
11/01/2025 15:30:00,"",0,1665.974365,0,13.959999,6.8
11/01/2025 15:35:00,"",0,1665.946533,0,"",""
11/01/2025 15:40:00,"",0,1666.064941,0,"",""
11/01/2025 15:45:00,"",0,1666.269043,0,"",""
11/01/2025 15:50:00,"",0,1665.92749,0,"",""
11/01/2025 15:55:00,"",0,1665.975098,0,"",""
11/01/2025 16:00:00,"",0,1665.998535,0,13.959999,5.8
11/01/2025 16:05:00,"",0,1666.031982,0,"",""
11/01/2025 16:10:00,"",0,1666.074463,0,"",""
11/01/2025 16:15:00,"",0,1666.107422,0,"",""
11/01/2025 16:20:00,"",0,1666.116943,0,"",""
11/01/2025 16:25:00,"",0,1666.0979,0,"",""
11/01/2025 16:30:00,"",0,1666.05542,0,13.959999,4.7
11/01/2025 16:35:00,"",0,1666.036377,0,"",""
11/01/2025 16:40:00,"",0,1665.941406,0,"",""
11/01/2025 16:45:00,"",0,1665.922363,0,"",""
11/01/2025 16:50:00,"",0,1666.00293,0,"",""
11/01/2025 16:55:00,"",0,1665.998535,0,"",""
11/01/2025 17:00:00,"",0,1666.073975,0,13.959999,4.099999
11/01/2025 17:05:00,"",0,1666.074463,0,"",""
11/01/2025 17:10:00,"",0,1665.917969,0,"",""
11/01/2025 17:15:00,"",0,1665.884521,0,"",""
11/01/2025 17:20:00,"",0,1666.008057,0,"",""
11/01/2025 17:25:00,"",0,1665.969971,0,"",""
11/01/2025 17:30:00,"",0,1665.879395,0,13.969999,3.4
11/01/2025 17:35:00,"",0,1665.799072,0,"",""
11/01/2025 17:40:00,"",0,1666.050537,0,"",""
11/01/2025 17:45:00,"",0,1665.742432,0,"",""
11/01/2025 17:50:00,"",0,1666.01709,0,"",""
11/01/2025 17:55:00,"",0,1665.855957,0,"",""
11/01/2025 18:00:00,"",0,1665.780518,0,13.969999,2.5
11/01/2025 18:05:00,"",0,1665.950928,0,"",""
11/01/2025 18:10:00,"",0,1665.751465,0,"",""
11/01/2025 18:15:00,"",0,1665.770996,0,"",""
11/01/2025 18:20:00,"",0,1665.666016,0,"",""
11/01/2025 18:25:00,"",0,1665.879883,0,"",""
11/01/2025 18:30:00,"",0,1665.799561,0,13.449999,1.7
11/01/2025 18:35:00,"",0,1665.676025,0,"",""
11/01/2025 18:40:00,"",0,1665.827393,0,"",""
11/01/2025 18:45:00,"",0,1665.713867,0,"",""
11/01/2025 18:50:00,"",0,1665.728516,0,"",""
11/01/2025 18:55:00,"",0,1665.737549,0,"",""
11/01/2025 19:00:00,"",0,1665.765869,0,13.27,1
